patch,date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
12.0,2020-11-11,,458.0,,703.0,,532.0,,2371.0
12.0,2021-02-02,,349.0,,590.0,,557.0,,1911.0
12.0,2021-07-22,,403.5,,719.0,,624.0,,3726.0
12.0,2021-07-28,,403.5,,719.0,,624.0,,3726.0
12.0,2021-10-07,,304.0,,543.0,,563.0,,2229.0
12.0,2021-12-10,,370.5,,548.5,,602.0,,1402.5
12.0,2022-02-28,,584.0,,1014.0,,1129.0,,2127.0
12.0,2022-07-08,,374.3333333333333,,645.3333333333334,,470.3333333333333,,4555.0
12.0,2022-07-20,284.0,332.0,586.0,675.0,649.0,582.0,1068.0,4292.0
12.0,2022-07-25,284.0,332.0,586.0,675.0,649.0,582.0,1068.0,4292.0
12.0,2022-09-13,313.0,423.0,631.0,731.0,732.0,691.0,1227.0,3005.0
12.0,2022-10-12,395.0,380.0,487.0,630.0,645.0,742.0,1021.0,1787.0
12.0,2022-10-20,864.0,933.3333333333334,948.3333333333334,1041.0,1047.6666666666667,1174.6666666666667,1368.6666666666667,2064.0
12.0,2022-12-09,2351.0,2296.0,2320.0,2455.0,2548.0,2628.0,2549.0,3116.0
12.0,2022-12-12,605.5,466.0,468.0,745.5,636.0,690.5,1024.5,1881.0
12.0,2023-02-24,455.6666666666667,492.0,652.6666666666666,764.3333333333334,845.3333333333334,840.3333333333334,1266.0,2138.6666666666665
12.0,2023-02-27,455.6666666666667,492.0,652.6666666666666,764.3333333333334,845.3333333333334,840.3333333333334,1266.0,2138.6666666666665
13.0,2020-11-11,,444.0,,704.0,,524.0,,2353.0
13.0,2021-02-02,,342.0,,552.0,,604.0,,1916.0
13.0,2021-07-22,,396.5,,724.75,,622.75,,3783.25
13.0,2021-07-28,,396.5,,724.75,,622.75,,3783.25
13.0,2021-10-07,,303.0,,551.0,,556.0,,2249.0
13.0,2021-12-10,,299.5,,529.5,,603.0,,1386.5
13.0,2022-02-28,,649.0,,953.0,,1099.0,,2077.0
13.0,2022-07-08,,379.0,,639.0,,480.0,,4609.333333333333
13.0,2022-07-20,266.0,330.0,570.0,678.0,659.0,565.0,1095.0,4264.0
13.0,2022-07-25,266.0,330.0,570.0,678.0,659.0,565.0,1095.0,4264.0
13.0,2022-09-13,328.0,458.0,638.0,749.0,560.0,724.0,1241.0,3007.0
13.0,2022-10-12,355.0,367.0,477.0,605.0,678.0,749.0,1060.0,1821.0
13.0,2022-10-20,918.6666666666666,954.3333333333334,966.6666666666666,1032.3333333333333,1031.6666666666667,1173.6666666666667,1430.6666666666667,2090.3333333333335
13.0,2022-12-09,2272.0,2243.0,2405.0,2394.0,2373.0,2541.0,2682.0,3056.0
13.0,2022-12-12,635.5,453.5,444.5,701.0,645.0,723.0,993.5,1806.0
13.0,2023-02-24,439.6666666666667,477.3333333333333,636.6666666666666,760.0,844.0,837.6666666666666,1272.6666666666667,2102.6666666666665
13.0,2023-02-27,439.6666666666667,477.3333333333333,636.6666666666666,760.0,844.0,837.6666666666666,1272.6666666666667,2102.6666666666665
19.0,2020-11-11,,641.0,,920.0,,876.0,,2027.0
19.0,2021-02-02,,419.0,,867.0,,683.0,,2748.0
19.0,2021-07-22,,340.5,,583.5,,501.5,,4036.75
19.0,2021-07-28,,340.5,,583.5,,501.5,,4036.75
19.0,2021-10-07,,341.0,,587.0,,554.0,,2331.0
19.0,2021-12-10,,317.5,,590.0,,692.0,,1572.5
19.0,2022-02-28,,619.0,,940.0,,1102.0,,2287.0
19.0,2022-07-08,,723.3333333333334,,1044.6666666666667,,1317.3333333333333,,2474.3333333333335
19.0,2022-07-20,662.0,1092.0,1421.0,1676.0,2132.0,2363.0,2718.0,4106.0
19.0,2022-07-25,662.0,1092.0,1421.0,1676.0,2132.0,2363.0,2718.0,4106.0
19.0,2022-09-13,567.0,899.0,1070.0,1238.0,1407.0,1730.0,1870.0,2598.0
19.0,2022-10-12,674.0,819.0,1065.0,1236.0,1287.0,1346.0,1943.0,3323.0
19.0,2022-10-20,1040.3333333333333,1116.0,1193.6666666666667,1354.6666666666667,1237.0,1324.0,1828.3333333333333,3379.3333333333335
19.0,2022-12-09,2282.0,2210.0,2319.0,2321.0,2233.0,2040.0,2948.0,4929.0
19.0,2022-12-12,572.5,546.0,522.5,888.0,748.5,673.5,1721.0,3096.0
19.0,2023-02-24,438.6666666666667,446.6666666666667,607.6666666666666,735.0,832.6666666666666,777.0,1296.0,2417.3333333333335
19.0,2023-02-27,438.6666666666667,446.6666666666667,607.6666666666666,735.0,832.6666666666666,777.0,1296.0,2417.3333333333335
20.0,2020-11-11,,619.0,,801.0,,963.0,,1692.0
20.0,2021-02-02,,403.0,,687.0,,790.0,,1788.0
20.0,2021-07-22,,527.75,,761.5,,980.25,,2232.25
20.0,2021-07-28,,527.75,,761.5,,980.25,,2232.25
20.0,2021-10-07,,535.0,,1005.0,,816.0,,3689.0
20.0,2021-12-10,,375.0,,793.5,,616.5,,3075.5
20.0,2022-02-28,,543.0,,824.0,,872.0,,2820.0
20.0,2022-07-08,,597.6666666666666,,877.3333333333334,,1119.6666666666667,,2491.3333333333335
20.0,2022-07-20,612.0,864.0,1151.0,1406.0,1619.0,1856.0,2186.0,3539.0
20.0,2022-07-25,612.0,864.0,1151.0,1406.0,1619.0,1856.0,2186.0,3539.0
20.0,2022-09-13,745.0,1019.0,1228.0,1401.0,1564.0,1881.0,2098.0,3013.0
20.0,2022-10-12,753.0,874.0,1137.0,1296.0,1455.0,1529.0,1938.0,2887.0
20.0,2022-10-20,1072.0,1145.6666666666667,1194.6666666666667,1328.3333333333333,1312.0,1396.3333333333333,1777.3333333333333,2896.0
20.0,2022-12-09,864.0,938.0,1009.0,1137.0,1015.0,798.0,1667.0,3699.0
20.0,2022-12-12,575.5,490.0,725.0,985.0,741.5,602.5,1556.5,3652.0
20.0,2023-02-24,414.6666666666667,441.0,682.0,833.6666666666666,809.3333333333334,644.3333333333334,1314.0,3368.0
20.0,2023-02-27,414.6666666666667,441.0,682.0,833.6666666666666,809.3333333333334,644.3333333333334,1314.0,3368.0
21.0,2020-11-11,,537.0,,761.0,,521.0,,4533.0
21.0,2021-02-02,,391.0,,797.0,,538.0,,4224.0
21.0,2021-07-22,,842.0,,1303.0,,1792.75,,3617.25
21.0,2021-07-28,,842.0,,1303.0,,1792.75,,3617.25
21.0,2021-10-07,,733.0,,1188.0,,1362.0,,2695.0
21.0,2021-12-10,,345.0,,966.5,,618.0,,4461.5
21.0,2022-02-28,,408.0,,794.0,,582.0,,4098.0
21.0,2022-07-08,,988.3333333333334,,1489.0,,2064.3333333333335,,3364.6666666666665
21.0,2022-07-20,630.0,930.0,1191.0,1396.0,1797.0,2035.0,2254.0,3406.0
21.0,2022-07-25,630.0,930.0,1191.0,1396.0,1797.0,2035.0,2254.0,3406.0
21.0,2022-09-13,555.0,872.0,1093.0,1256.0,1332.0,1584.0,1880.0,3148.0
21.0,2022-10-12,457.0,542.0,864.0,958.0,1016.0,936.0,1712.0,3878.0
21.0,2022-10-20,900.3333333333334,984.0,1115.6666666666667,1254.6666666666667,1174.3333333333333,1180.3333333333333,1851.6666666666667,3548.3333333333335
21.0,2022-12-09,709.0,522.0,686.0,1048.0,724.0,680.0,1600.0,3950.0
21.0,2022-12-12,592.0,575.5,612.0,1041.0,867.0,812.5,1615.0,3231.0
21.0,2023-02-24,432.6666666666667,510.3333333333333,724.0,868.3333333333334,1008.6666666666666,969.0,1563.0,2846.3333333333335
21.0,2023-02-27,432.6666666666667,510.3333333333333,724.0,868.3333333333334,1008.6666666666666,969.0,1563.0,2846.3333333333335
39.0,2020-11-11,,558.0,,788.0,,671.0,,3563.0
39.0,2021-02-02,,386.0,,750.0,,609.0,,3645.0
39.0,2021-07-22,,740.0,,1157.0,,1478.75,,3427.25
39.0,2021-07-28,,740.0,,1157.0,,1478.75,,3427.25
39.0,2021-10-07,,601.0,,1020.0,,1192.0,,2298.0
39.0,2021-12-10,,331.5,,904.0,,517.0,,3724.5
39.0,2022-02-28,,374.0,,852.0,,574.0,,3683.0
39.0,2022-07-08,,984.6666666666666,,1448.6666666666667,,1979.3333333333333,,3190.6666666666665
39.0,2022-07-20,630.0,946.0,1222.0,1484.0,1833.0,2017.0,2473.0,3393.0
39.0,2022-07-25,630.0,946.0,1222.0,1484.0,1833.0,2017.0,2473.0,3393.0
39.0,2022-09-13,525.0,910.0,1090.0,1285.0,1432.0,1633.0,2083.0,2954.0
39.0,2022-10-12,449.0,470.0,743.0,857.0,890.0,744.0,1632.0,3839.0
39.0,2022-10-20,972.0,967.6666666666666,1083.3333333333333,1220.6666666666667,1136.3333333333333,1151.0,1814.0,3653.6666666666665
39.0,2022-12-09,612.0,466.0,654.0,798.0,669.0,434.0,1356.0,3725.0
39.0,2022-12-12,600.5,427.0,536.5,890.0,624.5,617.5,1323.5,2812.0
39.0,2023-02-24,424.3333333333333,467.6666666666667,650.6666666666666,811.3333333333334,939.3333333333334,868.0,1386.3333333333333,2630.3333333333335
39.0,2023-02-27,424.3333333333333,467.6666666666667,650.6666666666666,811.3333333333334,939.3333333333334,868.0,1386.3333333333333,2630.3333333333335
40.0,2020-11-11,,520.0,,844.0,,636.0,,3217.0
40.0,2021-02-02,,349.0,,511.0,,603.0,,2374.0
40.0,2021-07-22,,393.5,,713.0,,599.0,,3920.5
40.0,2021-07-28,,393.5,,713.0,,599.0,,3920.5
40.0,2021-10-07,,329.0,,595.0,,595.0,,2013.0
40.0,2021-12-10,,260.0,,576.5,,691.5,,1782.0
40.0,2022-02-28,,567.0,,891.0,,1091.0,,2169.0
40.0,2022-07-08,,479.3333333333333,,812.6666666666666,,697.0,,3943.0
40.0,2022-07-20,310.0,424.0,618.0,786.0,839.0,759.0,1284.0,3481.0
40.0,2022-07-25,310.0,424.0,618.0,786.0,839.0,759.0,1284.0,3481.0
40.0,2022-09-13,218.0,459.0,642.0,692.0,735.0,781.0,1226.0,2485.0
40.0,2022-10-12,348.0,393.0,512.0,553.0,733.0,764.0,1050.0,1919.0
40.0,2022-10-20,984.0,964.6666666666666,994.6666666666666,1120.6666666666667,1078.3333333333333,1214.0,1535.6666666666667,2627.0
40.0,2022-12-09,1398.0,1594.0,1671.0,1632.0,1712.0,1773.0,2186.0,2851.0
40.0,2022-12-12,730.0,468.5,510.0,775.0,684.5,755.5,1188.5,2299.5
40.0,2023-02-24,414.6666666666667,485.0,624.0,750.6666666666666,840.0,784.0,1265.0,2200.6666666666665
40.0,2023-02-27,414.6666666666667,485.0,624.0,750.6666666666666,840.0,784.0,1265.0,2200.6666666666665
49.0,2020-11-11,,587.0,,904.0,,815.0,,2619.0
49.0,2021-02-02,,368.0,,781.0,,656.0,,2874.0
49.0,2021-07-22,,785.0,,1342.5,,1994.25,,3845.25
49.0,2021-07-28,,785.0,,1342.5,,1994.25,,3845.25
49.0,2021-10-07,,721.0,,1136.0,,1309.0,,2610.0
49.0,2021-12-10,,278.0,,740.0,,400.0,,3354.5
49.0,2022-02-28,,553.0,,864.0,,974.0,,2254.0
49.0,2022-07-08,,525.3333333333334,,830.3333333333334,,766.6666666666666,,3682.3333333333335
49.0,2022-07-20,359.0,446.0,707.0,824.0,893.0,786.0,1274.0,3636.0
49.0,2022-07-25,359.0,446.0,707.0,824.0,893.0,786.0,1274.0,3636.0
49.0,2022-09-13,300.0,558.0,851.0,1022.0,1041.0,1114.0,1843.0,3605.0
49.0,2022-10-12,630.0,700.0,943.0,1024.0,1264.0,1320.0,1731.0,2811.0
49.0,2022-10-20,1036.3333333333333,1118.0,1151.3333333333333,1314.6666666666667,1355.0,1480.0,1742.0,2652.6666666666665
49.0,2022-12-09,964.0,728.0,790.0,890.0,1004.0,894.0,922.0,1511.0
49.0,2022-12-12,636.5,503.5,395.5,726.0,649.5,769.0,1044.5,1972.0
49.0,2023-02-24,482.0,463.3333333333333,592.6666666666666,696.6666666666666,858.6666666666666,868.3333333333334,1152.6666666666667,1678.6666666666667
49.0,2023-02-27,482.0,463.3333333333333,592.6666666666666,696.6666666666666,858.6666666666666,868.3333333333334,1152.6666666666667,1678.6666666666667
50.0,2020-11-11,,756.0,,946.0,,1073.0,,1967.0
50.0,2021-02-02,,478.0,,774.0,,858.0,,2177.0
50.0,2021-07-22,,509.5,,743.5,,952.75,,2072.75
50.0,2021-07-28,,509.5,,743.5,,952.75,,2072.75
50.0,2021-10-07,,561.0,,1067.0,,882.0,,3778.0
50.0,2021-12-10,,350.0,,810.0,,638.5,,3550.5
50.0,2022-02-28,,557.0,,882.0,,881.0,,3071.0
50.0,2022-07-08,,597.3333333333334,,892.0,,1122.0,,2435.0
50.0,2022-07-20,629.0,910.0,1136.0,1362.0,1623.0,1831.0,2314.0,3566.0
50.0,2022-07-25,629.0,910.0,1136.0,1362.0,1623.0,1831.0,2314.0,3566.0
50.0,2022-09-13,746.0,1161.0,1379.0,1580.0,1734.0,2104.0,2302.0,3316.0
50.0,2022-10-12,950.0,987.0,1318.0,1436.0,1689.0,1753.0,2141.0,2915.0
50.0,2022-10-20,1179.3333333333333,1205.6666666666667,1326.6666666666667,1499.3333333333333,1471.3333333333333,1570.3333333333333,1947.6666666666667,2920.3333333333335
50.0,2022-12-09,1015.0,824.0,978.0,1185.0,1106.0,849.0,1852.0,3998.0
50.0,2022-12-12,632.0,534.5,625.0,983.5,832.5,713.0,1474.0,2850.5
50.0,2023-02-24,359.6666666666667,474.3333333333333,676.3333333333334,843.3333333333334,820.3333333333334,707.3333333333334,1451.6666666666667,3279.6666666666665
50.0,2023-02-27,359.6666666666667,474.3333333333333,676.3333333333334,843.3333333333334,820.3333333333334,707.3333333333334,1451.6666666666667,3279.6666666666665
51.0,2020-11-11,,539.0,,883.0,,721.0,,3848.0
51.0,2021-02-02,,282.0,,450.0,,532.0,,1656.0
51.0,2021-07-22,,408.5,,683.5,,631.5,,3559.25
51.0,2021-07-28,,408.5,,683.5,,631.5,,3559.25
51.0,2021-10-07,,316.0,,572.0,,526.0,,2540.0
51.0,2021-12-10,,305.0,,562.5,,652.0,,1556.0
51.0,2022-02-28,,686.0,,1060.0,,1295.0,,2241.0
51.0,2022-07-08,,715.3333333333334,,1036.0,,1197.3333333333333,,2794.6666666666665
51.0,2022-07-20,626.0,847.0,1065.0,1233.0,1531.0,1718.0,1989.0,2629.0
51.0,2022-07-25,626.0,847.0,1065.0,1233.0,1531.0,1718.0,1989.0,2629.0
51.0,2022-09-13,648.0,1045.0,1273.0,1458.0,1654.0,1993.0,2137.0,2966.0
51.0,2022-10-12,775.0,904.0,1164.0,1358.0,1540.0,1655.0,1994.0,3079.0
51.0,2022-10-20,1110.3333333333333,1162.6666666666667,1279.3333333333333,1392.3333333333333,1395.6666666666667,1459.0,1896.3333333333333,3148.0
51.0,2022-12-09,983.0,1151.0,1256.0,1455.0,1194.0,945.0,1849.0,4748.0
51.0,2022-12-12,457.0,406.5,474.0,801.5,498.0,346.0,1199.0,3949.0
51.0,2023-02-24,358.3333333333333,393.0,614.6666666666666,755.6666666666666,720.6666666666666,621.6666666666666,1361.0,3533.6666666666665
51.0,2023-02-27,358.3333333333333,393.0,614.6666666666666,755.6666666666666,720.6666666666666,621.6666666666666,1361.0,3533.6666666666665
58.0,2020-11-11,,729.0,,1092.0,,1113.0,,2459.0
58.0,2021-02-02,,364.0,,959.0,,716.0,,2747.0
58.0,2021-07-22,,386.25,,663.75,,609.75,,3854.0
58.0,2021-07-28,,386.25,,663.75,,609.75,,3854.0
58.0,2021-10-07,,329.0,,580.0,,594.0,,2359.0
58.0,2021-12-10,,360.5,,732.0,,800.5,,1725.5
58.0,2022-02-28,,581.0,,1021.0,,1187.0,,2316.0
58.0,2022-07-08,,734.0,,1063.0,,1379.6666666666667,,2532.0
58.0,2022-07-20,554.0,984.0,1287.0,1537.0,1943.0,2149.0,2597.0,3777.0
58.0,2022-07-25,554.0,984.0,1287.0,1537.0,1943.0,2149.0,2597.0,3777.0
58.0,2022-09-13,687.0,1013.0,1187.0,1402.0,1555.0,1838.0,2062.0,2800.0
58.0,2022-10-12,801.0,897.0,1208.0,1339.0,1484.0,1536.0,2119.0,3488.0
58.0,2022-10-20,1178.3333333333333,1160.0,1299.3333333333333,1454.3333333333333,1406.0,1445.0,1962.3333333333333,3602.6666666666665
58.0,2022-12-09,1929.0,1668.0,1965.0,2007.0,1784.0,1684.0,2543.0,4961.0
58.0,2022-12-12,727.5,565.5,676.5,912.0,831.0,724.0,1712.5,3398.5
58.0,2023-02-24,470.6666666666667,473.0,651.6666666666666,780.0,888.3333333333334,847.3333333333334,1479.0,2757.3333333333335
58.0,2023-02-27,470.6666666666667,473.0,651.6666666666666,780.0,888.3333333333334,847.3333333333334,1479.0,2757.3333333333335
59.0,2020-11-11,,895.0,,1222.0,,1474.0,,2548.0
59.0,2021-02-02,,466.0,,855.0,,1008.0,,2531.0
59.0,2021-07-22,,759.0,,1212.0,,1715.0,,3305.25
59.0,2021-07-28,,759.0,,1212.0,,1715.0,,3305.25
59.0,2021-10-07,,821.0,,1360.0,,1566.0,,3019.0
59.0,2021-12-10,,280.5,,877.5,,488.5,,3708.5
59.0,2022-02-28,,706.0,,1121.0,,1329.0,,2439.0
59.0,2022-07-08,,698.3333333333334,,1062.3333333333333,,1152.0,,3106.3333333333335
59.0,2022-07-20,471.0,586.0,790.0,960.0,1188.0,1285.0,1665.0,2876.0
59.0,2022-07-25,471.0,586.0,790.0,960.0,1188.0,1285.0,1665.0,2876.0
59.0,2022-09-13,285.0,687.0,819.0,932.0,971.0,1131.0,1430.0,2285.0
59.0,2022-10-12,799.0,944.0,1144.0,1376.0,1669.0,1809.0,2064.0,2693.0
59.0,2022-10-20,1179.3333333333333,1209.0,1317.3333333333333,1481.3333333333333,1516.0,1607.0,1907.6666666666667,2833.0
59.0,2022-12-09,1797.0,1512.0,1718.0,1926.0,1675.0,1497.0,2325.0,4432.0
59.0,2022-12-12,615.0,427.0,633.0,945.0,688.5,530.5,1639.5,3623.5
59.0,2023-02-24,475.0,553.3333333333334,727.3333333333334,902.6666666666666,1044.3333333333333,1017.3333333333334,1561.6666666666667,2604.3333333333335
59.0,2023-02-27,475.0,553.3333333333334,727.3333333333334,902.6666666666666,1044.3333333333333,1017.3333333333334,1561.6666666666667,2604.3333333333335
60.0,2020-11-11,,512.0,,918.0,,685.0,,3583.0
60.0,2021-02-02,,279.0,,416.0,,534.0,,1540.0
60.0,2021-07-22,,444.5,,759.5,,761.0,,2907.5
60.0,2021-07-28,,444.5,,759.5,,761.0,,2907.5
60.0,2021-10-07,,658.0,,990.0,,1354.0,,2157.0
60.0,2021-12-10,,313.5,,802.0,,438.5,,2736.0
60.0,2022-02-28,,606.0,,925.0,,1089.0,,2141.0
60.0,2022-07-08,,752.0,,1096.3333333333333,,1387.0,,2539.6666666666665
60.0,2022-07-20,644.0,874.0,1110.0,1323.0,1650.0,1812.0,2033.0,2914.0
60.0,2022-07-25,644.0,874.0,1110.0,1323.0,1650.0,1812.0,2033.0,2914.0
60.0,2022-09-13,579.0,907.0,1107.0,1269.0,1391.0,1530.0,1927.0,3061.0
60.0,2022-10-12,346.0,401.0,638.0,712.0,659.0,601.0,1442.0,3718.0
60.0,2022-10-20,862.6666666666666,901.6666666666666,996.3333333333334,1105.3333333333333,985.3333333333334,955.3333333333334,1600.3333333333333,3749.3333333333335
60.0,2022-12-09,517.0,431.0,540.0,694.0,492.0,393.0,1032.0,2938.0
60.0,2022-12-12,444.0,353.0,227.5,467.5,441.5,389.0,827.0,1515.0
60.0,2023-02-24,296.6666666666667,312.0,396.0,494.0,583.0,588.0,839.6666666666666,1387.0
60.0,2023-02-27,296.6666666666667,312.0,396.0,494.0,583.0,588.0,839.6666666666666,1387.0
65.0,2020-11-11,,700.0,,1058.0,,1034.0,,2385.0
65.0,2021-02-02,,406.0,,858.0,,664.0,,2765.0
65.0,2021-07-22,,357.25,,621.75,,531.25,,4026.25
65.0,2021-07-28,,357.25,,621.75,,531.25,,4026.25
65.0,2021-10-07,,309.0,,552.0,,700.0,,1931.0
65.0,2021-12-10,,326.0,,596.0,,762.5,,1536.0
65.0,2022-02-28,,636.0,,1010.0,,1149.0,,2403.0
65.0,2022-07-08,,712.6666666666666,,1001.3333333333334,,1331.0,,2608.3333333333335
65.0,2022-07-20,739.0,1126.0,1437.0,1749.0,2193.0,2585.0,2998.0,4390.0
65.0,2022-07-25,739.0,1126.0,1437.0,1749.0,2193.0,2585.0,2998.0,4390.0
65.0,2022-09-13,584.0,886.0,1084.0,1258.0,1400.0,1649.0,1724.0,2439.0
65.0,2022-10-12,562.0,725.0,973.0,1110.0,1248.0,1180.0,1865.0,3305.0
65.0,2022-10-20,1148.6666666666667,1062.6666666666667,1193.0,1319.6666666666667,1235.0,1218.6666666666667,1805.3333333333333,3454.3333333333335
65.0,2022-12-09,971.0,767.0,983.0,1123.0,999.0,727.0,1671.0,4265.0
65.0,2022-12-12,769.0,526.5,562.5,907.5,691.5,603.0,1606.5,3801.5
65.0,2023-02-24,430.6666666666667,429.0,595.0,748.0,820.6666666666666,786.3333333333334,1402.0,2760.3333333333335
65.0,2023-02-27,430.6666666666667,429.0,595.0,748.0,820.6666666666666,786.3333333333334,1402.0,2760.3333333333335
66.0,2020-11-11,,611.0,,935.0,,765.0,,3374.0
66.0,2021-02-02,,376.0,,571.0,,546.0,,2268.0
66.0,2021-07-22,,405.5,,729.5,,686.75,,4533.0
66.0,2021-07-28,,405.5,,729.5,,686.75,,4533.0
66.0,2021-10-07,,325.0,,611.0,,649.0,,2407.0
66.0,2021-12-10,,296.0,,492.0,,690.5,,1458.0
66.0,2022-02-28,,629.0,,1031.0,,1237.0,,2027.0
66.0,2022-07-08,,541.0,,819.6666666666666,,821.6666666666666,,3521.0
66.0,2022-07-20,324.0,418.0,715.0,794.0,797.0,834.0,1268.0,3588.0
66.0,2022-07-25,324.0,418.0,715.0,794.0,797.0,834.0,1268.0,3588.0
66.0,2022-09-13,348.0,477.0,757.0,872.0,888.0,886.0,1381.0,3084.0
66.0,2022-10-12,316.0,435.0,543.0,642.0,714.0,805.0,1124.0,2005.0
66.0,2022-10-20,980.3333333333334,955.0,1037.0,1175.0,1195.6666666666667,1289.3333333333333,1643.0,2446.3333333333335
66.0,2022-12-09,2339.0,1939.0,2086.0,2363.0,2297.0,2187.0,2396.0,3275.0
66.0,2022-12-12,666.0,522.0,497.0,788.0,736.0,914.5,1146.0,1769.0
66.0,2023-02-24,522.0,558.6666666666666,751.0,877.0,995.6666666666666,1042.0,1403.0,2147.0
66.0,2023-02-27,522.0,558.6666666666666,751.0,877.0,995.6666666666666,1042.0,1403.0,2147.0
